name,kind,units,equation,vensim_comment,views,inputs,outputs,n_inputs,n_outputs,priority,purpose,logic,assumption,source,calibration,interpretation,status,suggested_priority,suggested_reason,needs_source,needs_assumption
Urban Scaling Exponent Small,constant,Dmnl,1.15,"Urban-Scaling-Exponent der kleinen Stadtklasse. Werte über 1 bedeuten, dass Innovation überproportional mit der Stadtgrösse steigt.",11_Innovation_and_City_Size,,Innovation Small,0,1,high,"Steuert, wie stark Innovation mit Stadtgrösse skaliert.",Der Exponent wird in der Potenzfunktion der Urban-Scaling-Logik verwendet.,"Innovation, Patente und ähnliche sozioökonomische Grössen skalieren typischerweise superlinear mit Stadtgrösse. Ein einheitlicher Wert von 1.15 ist als Basisannahme plausibel.",Bettencourt et al. (2007): https://www.pnas.org/doi/10.1073/pnas.0610172104; Bettencourt et al. (2010): https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0013541,Empfohlen: 1.15; Sensitivität: 1.10 bis 1.20. Ein Wert von 1.6 wäre nicht durch die Standard-Urban-Scaling-Literatur gedeckt und sollte nur als extremes Szenario verwendet werden.,"Werte über 1 bedeuten zunehmende Skalenerträge durch Agglomeration; je höher der Exponent, desto stärker dominiert die grosse Stadtklasse.",draft,medium,Parameter/Konstante braucht Quelle oder Wertbegruendung,True,True
Urban Scaling Exponent very Large,constant,Dmnl,1.15,"Urban-Scaling-Exponent der sehr grossen Stadtklasse. Werte über 1 bedeuten, dass Innovation überproportional mit der Stadtgrösse steigt.",11_Innovation_and_City_Size,,Innovation very Large,0,1,high,"Steuert, wie stark Innovation mit Stadtgrösse skaliert.",Der Exponent wird in der Potenzfunktion der Urban-Scaling-Logik verwendet.,"Innovation, Patente und ähnliche sozioökonomische Grössen skalieren typischerweise superlinear mit Stadtgrösse. Ein einheitlicher Wert von 1.15 ist als Basisannahme plausibel.",Bettencourt et al. (2007): https://www.pnas.org/doi/10.1073/pnas.0610172104; Bettencourt et al. (2010): https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0013541,Empfohlen: 1.15; Sensitivität: 1.10 bis 1.20. Ein Wert von 1.6 wäre nicht durch die Standard-Urban-Scaling-Literatur gedeckt und sollte nur als extremes Szenario verwendet werden.,"Werte über 1 bedeuten zunehmende Skalenerträge durch Agglomeration; je höher der Exponent, desto stärker dominiert die grosse Stadtklasse.",draft,medium,Parameter/Konstante braucht Quelle oder Wertbegruendung,True,True
AMM Consistent Economic Land Conversion Demand,flow,km2/Year,Urban Land Gap / Urban Expansion Adjustment Time,"AMM Consistent Economic Land Conversion Demand
 
 AMM-basierte jährliche Nachfrage nach zusätzlicher urbaner Fläche.
 
 Sie ergibt sich aus dem Urban Land Gap geteilt durch die
 Anpassungszeit der urbanen Expansion.",09_Urban_Land_Conversion_Logic,Urban Expansion Adjustment Time; Urban Land; Urban Land Gap,Land Conversion Pressure Factors,3,1,high,Beschreibt die AMM-basierte Nachfrage nach zusätzlicher urbaner Fläche pro Jahr.,Urban Land Gap wird über Urban Expansion Adjustment Time in eine jährliche Flächennachfrage übersetzt.,Der Anpassungsprozess ist verzögert; Nachfrage nach Fläche wird nicht sofort vollständig umgesetzt.,"Alonso (1964), Muth (1969), Mills (1967); Mills URL: https://www.jstor.org/stable/1821621; Muth URL: https://www.cambridge.org/core/journals/recherches-economiques-de-louvain-louvain-economic-review/article/rf-muth-cities-and-housing-the-spatial-pattern-of-urban-residential-land-use-chicago-and-london-the-university-of-chicago-press-1969-xxii-p-355-p-90/0AA8AA64AD2123A62CED306A63423327",Urban Expansion Adjustment Time ist ein Szenario-/Kalibrierparameter; gegen historische Urban-Land-Änderungen prüfen.,Hohe Werte zeigen starken ökonomischen Druck zur Stadtflächenerweiterung.,draft,high,zentrale Variable aus empfohlener Startliste; flow sollte fachlich erklaert werden,True,True
Agricultural Rent Change,flow,(EUR/km2)/Year,(Desired Agricultural Rent - Agricultural Rent) / Agricultural Rent Adjustment Time,"Agricultural Rent Change
 
 Anpassungsrate der landwirtschaftlichen Bodenrente.
 
 Sie beschreibt, wie schnell Agricultural Rent auf den
 gewünschten Rentenwert reagiert.",08_Agriculture_and_Scarcity,Agricultural Rent; Agricultural Rent Adjustment Time; Desired Agricultural Rent,Agricultural Rent,3,1,high,Beschreibt die Anpassungsrate der landwirtschaftlichen Bodenrente.,Differenz zwischen Desired Agricultural Rent und Agricultural Rent wird über Adjustment Time abgebaut.,Bodenrenten passen sich nicht sofort an Knappheit an.,"Alonso (1964), Muth (1969), Mills (1967); Mills URL: https://www.jstor.org/stable/1821621; Muth URL: https://www.cambridge.org/core/journals/recherches-economiques-de-louvain-louvain-economic-review/article/rf-muth-cities-and-housing-the-spatial-pattern-of-urban-residential-land-use-chicago-and-london-the-university-of-chicago-press-1969-xxii-p-355-p-90/0AA8AA64AD2123A62CED306A63423327",Agricultural Rent Adjustment Time ist ein Modellparameter; keine direkte externe Zahl.,Positive Werte erhöhen Agricultural Rent; negative Werte senken sie.,draft,high,flow sollte fachlich erklaert werden,True,True
Food Production,flow,kcal/Year,Yield * Aggricultural Land,"Food Production
 
 Jährliche Nahrungsmittelproduktion.
 
 Die Variable ergibt sich aus dem landwirtschaftlichen Ertrag
 pro km2 multipliziert mit der verfügbaren Aggricultural Land.",08_Agriculture_and_Scarcity,Aggricultural Land; Yield,Import Dependence,2,1,high,Beschreibt die jährliche Nahrungsmittelproduktion auf landwirtschaftlicher Fläche.,Yield wird mit Aggricultural Land multipliziert.,"Alle landwirtschaftliche Fläche wird mit einem durchschnittlichen kcal-Ertrag modelliert; Nutzpflanzenmix, Futter-/Food-Anteil und Verluste werden stark vereinfacht.",FAO Food Balance Sheets / dietary energy supply: https://www.fao.org/statistics/highlights-archive/highlights-detail/food-balance-sheets-2010-2023/en; Eurostat agricultural production crops: https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Agricultural_production_-_crops,"Yield sollte aus EU-Ertragsdaten und Kalorienumrechnung plausibilisiert werden. Eurostat liefert Tonnen/ha, FAO Kalorien-/Food-Balance-Kontext.",Sinkende Aggricultural Land oder Yield reduziert Food Production und erhöht Import Dependence.,draft,high,flow sollte fachlich erklaert werden,True,True
Income per Capita Growth,flow,(EUR/Person)/Year,Income per Capita * Net Income Growth Rate,"Income per Capita Growth
 
 Wachstumsrate des Einkommens pro Person.
 Sie ergibt sich aus dem aktuellen Einkommen pro Person
 multipliziert mit der effektiven jährlichen Einkommenswachstumsrate.",03_Income_and_Productivity,Income per Capita; Net Income Growth Rate,Income per Capita,2,1,high,Beschreibt die jährliche Veränderung des Einkommens pro Kopf.,Income per Capita wird mit Net Income Growth Rate multipliziert.,Einkommen wächst proportional zum aktuellen Niveau; Produktivitätseffekte wirken auf die Wachstumsrate.,Eurostat GDP per capita (nama_10_pc): https://ec.europa.eu/eurostat/databrowser/view/nama_10_pc/default/table?lang=en; World Bank EU GDP per-capita growth: https://data.worldbank.org/indicator/NY.GDP.PCAP.KD.ZG?locations=EU,Basiswachstumsrate mit realem EU-GDP-per-capita-Wachstum plausibilisieren; Szenarien für Minimum/Maximum dokumentieren.,Positive Werte erhöhen Einkommen und Wohn-/Landbudget.,draft,high,flow sollte fachlich erklaert werden,True,True
Land Conversion Pressure Factors,flow,km2/Year,AMM Consistent Economic Land Conversion Demand,"Land Conversion Pressure Factors
 
 Gesamter modellierter Umwandlungsdruck ohne Soil Protection.
 
 Die AMM-basierte Umwandlungsnachfrage wird durch den
 Rent Gap Pressure Factor verstärkt.",09_Urban_Land_Conversion_Logic; Macro_Ebene,AMM Consistent Economic Land Conversion Demand,Land Conversion Rate,1,1,high,Beschreibt den modellierten Umwandlungsdruck vor der physischen Flächenbegrenzung.,Im aktuellen Modell entspricht der Druck der AMM Consistent Economic Land Conversion Demand.,Ökonomischer Flächendruck wird über Nachfrage nach zusätzlicher urbaner Fläche approximiert.,"Alonso (1964), Muth (1969), Mills (1967); Mills URL: https://www.jstor.org/stable/1821621; Muth URL: https://www.cambridge.org/core/journals/recherches-economiques-de-louvain-louvain-economic-review/article/rf-muth-cities-and-housing-the-spatial-pattern-of-urban-residential-land-use-chicago-and-london-the-university-of-chicago-press-1969-xxii-p-355-p-90/0AA8AA64AD2123A62CED306A63423327",Keine direkte externe Zahl; sollte über Sensitivität und Vergleich mit beobachteter Urban-Land-Zunahme plausibilisiert werden.,Dient als Nachfragekomponente der Land Conversion Rate.,draft,high,zentrale Variable aus empfohlener Startliste; flow sollte fachlich erklaert werden,True,True
Land Conversion Rate,flow,km2/Year,"MIN( Land Conversion Pressure Factors, Max Feasible Conversion )","Land Conversion Rate
 
 Temporärer Platzhalter für die Landumwandlungsrate.
 
 In dieser View wird nur gezeigt, wie die Rate Urban Land erhöht
 und Aggricultural Land reduziert.
 
 Die detaillierte Berechnung von Land Conversion Rate wird später
 in der Urban-Land-Conversion-View modelliert.",Macro_Ebene,Land Conversion Pressure Factors; Max Feasible Conversion,Aggricultural Land; Urban Land,2,2,high,Beschreibt die tatsächliche jährliche Umwandlung landwirtschaftlicher in urbane Fläche.,Die Rate ist das Minimum aus Umwandlungsdruck und maximal möglicher Umwandlung.,"Landumwandlung wird durch Nachfrage getrieben, aber durch verfügbare Fläche begrenzt. Negative Rückumwandlung wird nicht berücksichtigt.","Alonso (1964), Muth (1969), Mills (1967); Mills URL: https://www.jstor.org/stable/1821621; Muth URL: https://www.cambridge.org/core/journals/recherches-economiques-de-louvain-louvain-economic-review/article/rf-muth-cities-and-housing-the-spatial-pattern-of-urban-residential-land-use-chicago-and-london-the-university-of-chicago-press-1969-xxii-p-355-p-90/0AA8AA64AD2123A62CED306A63423327","Direkt kalibrierbare Beobachtungsdaten schwer; als Modellrate über Urban Land Gap, Adjustment Time und verfügbare Landfläche plausibilisieren.",Hohe Werte bedeuten schnelle Urbanisierung; die Variable verändert Urban Land und Aggricultural Land direkt.,draft,high,zentrale Variable aus empfohlener Startliste; flow sollte fachlich erklaert werden,True,True
Max Feasible Conversion,flow,km2/Year,Aggricultural Land / Land Conversion Time Minimum,"Max Feasible Conversion
 
 Maximal mögliche Landumwandlung pro Zeiteinheit.
 
 Diese Variable verhindert, dass mehr landwirtschaftliche Fläche
 umgewandelt wird, als im Modell verfügbar ist.",Macro_Ebene,Aggricultural Land; Land Conversion Time Minimum,Land Conversion Rate,2,1,high,Begrenzt die maximal mögliche Landumwandlung pro Jahr.,Aggricultural Land wird durch Land Conversion Time Minimum geteilt.,"Es kann nicht mehr Land umgewandelt werden, als landwirtschaftlich verfügbar ist; die Mindestzeit verhindert numerische Sprünge.",Eigene numerische Modellannahme; Stock-Flow-Begrenzungslogik.,Land Conversion Time Minimum aktuell 1 Jahr: konservative harte Obergrenze; keine externe empirische Zahl.,Schützt das Modell vor unrealistischer vollständiger Umwandlung in einem Zeitschritt.,draft,high,zentrale Variable aus empfohlener Startliste; flow sollte fachlich erklaert werden,True,True
Mean Annual Housing Cost per Household,flow,EUR/Household/Year,Mean Annual Housing Cost per Capita * Mean Household Size,Durchschnittliche jährliche Wohnkosten pro Haushalt. Sie ergeben sich aus den jährlichen Wohnkosten pro Person multipliziert mit der Haushaltsgrösse.,05_AMM_Budget_and_Housing_Demand,Mean Annual Housing Cost per Capita; Mean Household Size,,2,0,high,Beschreibt durchschnittliche jährliche Wohnkosten pro Haushalt.,Wohnkosten pro Kopf werden mit Mean Household Size multipliziert.,Pro-Kopf-Wohnkosten können auf Haushaltsebene linear mit Haushaltsgrösse approximiert werden; Skaleneffekte innerhalb von Haushalten werden vereinfacht.,Eurostat housing-cost overburden / housing affordability: https://ec.europa.eu/eurostat/databrowser/view/tespm140/default/table?lang=en; Eurostat Housing in Europe 2024: https://ec.europa.eu/eurostat/web/interactive-publications/housing-2024,Mean Annual Housing Cost per Capita sollte aus Eurostat/OECD-Housing-Cost-Daten oder als Anteil am Einkommen abgeleitet werden. Direkte EU-weite EUR/Household-Zahl ist schwer einheitlich belegbar.,Höhere Wohnkosten pro Haushalt beeinflussen Housing Land Expenditure und damit Land Demand.,draft,high,flow sollte fachlich erklaert werden,True,True
Mean Household Size Change,flow,Person/Household/Year,(Desired Mean Household Size - Mean Household Size) / Household Size Adjustment Time,"Mean Household Size Change
 
 Anpassungsrate der mittleren Haushaltsgrösse.
 Sie beschreibt, wie schnell sich Mean Household Size
 dem gewünschten langfristigen Wert annähert.",01_Population_Household,Desired Mean Household Size; Household Size Adjustment Time; Mean Household Size,Mean Household Size,3,1,high,Beschreibt die jährliche Anpassung der Haushaltsgrösse.,Differenz zwischen Desired Mean Household Size und Mean Household Size wird über Household Size Adjustment Time abgebaut.,"Demografische und soziale Haushaltsstruktur ändert sich graduell, nicht sprunghaft.","Eurostat Housing in Europe 2024, average household size: https://ec.europa.eu/eurostat/web/interactive-publications/housing-2024; Eurostat household composition: https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Household_composition_statistics",Adjustment Time ist ein Modellparameter; Trend und Zielwert mit Eurostat-Haushaltsdaten plausibilisieren.,Negative Werte bedeuten sinkende Haushaltsgrösse und erhöhen tendenziell Number of Households.,draft,high,flow sollte fachlich erklaert werden,True,True
Mean Urban Rent Change,flow,(EUR/km2)/Year,(Desired Mean Urban Rent - Mean Urban Rent) / Urban Rent Adjustment Time,"Mean Urban Rent Change
 
 Anpassungsrate der mittleren urbanen Miete.
 
 Sie beschreibt, wie schnell Mean Urban Rent auf den gewünschten
 Mietwert reagiert.",04_Urban_Rent_and_Land_Tightness,Desired Mean Urban Rent; Mean Urban Rent; Urban Rent Adjustment Time,Mean Urban Rent,3,1,high,Beschreibt die Anpassungsrate der mittleren urbanen Miete.,Differenz zwischen Desired Mean Urban Rent und Mean Urban Rent wird über Urban Rent Adjustment Time abgebaut.,Renten passen sich verzögert an Knappheit an.,"Alonso (1964), Muth (1969), Mills (1967); Mills URL: https://www.jstor.org/stable/1821621; Muth URL: https://www.cambridge.org/core/journals/recherches-economiques-de-louvain-louvain-economic-review/article/rf-muth-cities-and-housing-the-spatial-pattern-of-urban-residential-land-use-chicago-and-london-the-university-of-chicago-press-1969-xxii-p-355-p-90/0AA8AA64AD2123A62CED306A63423327",Urban Rent Adjustment Time ist ein Kalibrierparameter; keine direkte externe Zahl. Empfohlen: Sensitivität testen.,Positive Werte erhöhen Mean Urban Rent; negative Werte senken sie.,draft,high,flow sollte fachlich erklaert werden,True,True
Net Income Growth Rate,flow,Dmnl/Year,"MIN( Maximum Income Growth Rate, MAX( Minimum Income Growth Rate, Base Income Growth Rate + Urban Productivity Effect ) )","Net Income Growth Rate
 
 Effektive jährliche Einkommenswachstumsrate.
 
 Die Variable kombiniert die Basiswachstumsrate mit dem
 Urban Productivity Effect. Durch MIN und MAX wird die
 Wachstumsrate nach oben und unten begrenzt.",03_Income_and_Productivity,Base Income Growth Rate; Maximum Income Growth Rate; Minimum Income Growth Rate; Urban Productivity Effect,Income per Capita Growth,4,1,high,Beschreibt die effektive jährliche Einkommenswachstumsrate.,Basiswachstum plus Urban Productivity Effect wird durch Minimum und Maximum begrenzt.,Langfristiges Wachstum bleibt innerhalb plausibler Grenzen; Innovationswirkung verändert Wachstum nur begrenzt.,Eurostat GDP per capita (nama_10_pc): https://ec.europa.eu/eurostat/databrowser/view/nama_10_pc/default/table?lang=en; World Bank EU GDP per-capita growth: https://data.worldbank.org/indicator/NY.GDP.PCAP.KD.ZG?locations=EU; urban productivity scaling: Bettencourt et al. (2007): https://www.pnas.org/doi/10.1073/pnas.0610172104; Bettencourt et al. (2010): https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0013541,Base/Min/Max Growth Rate anhand historischer EU-GDP-per-capita-Wachstumsraten setzen; Grenzen als Szenarioannahmen testen.,Steuert direkt Income per Capita Growth und damit Nachfrage im Modell.,draft,high,flow sollte fachlich erklaert werden,True,True
Population kcal demand,flow,kcal/Year,Caloric Baseline Need pP * Expected Population,"Population kcal demand
 
 Gesamter jährlicher Kalorienbedarf der Bevölkerung.
 
 Die Variable ergibt sich aus dem jährlichen Kalorienbedarf pro Person
 multipliziert mit Expected Population.",08_Agriculture_and_Scarcity,Caloric Baseline Need pP; Expected Population,Import Dependence; Populational Need of Kcal in Km2,2,2,high,Beschreibt den jährlichen Kalorienbedarf der modellierten Bevölkerung.,Caloric Baseline Need pP wird mit Expected Population multipliziert.,Der Kalorienbedarf pro Person wird als konstanter Durchschnittswert angenommen; Altersstruktur und Ernährungswandel werden abstrahiert.,FAO Food Balance Sheets / dietary energy supply: https://www.fao.org/statistics/highlights-archive/highlights-detail/food-balance-sheets-2010-2023/en; Eurostat agricultural production crops: https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Agricultural_production_-_crops,Caloric Baseline Need pP sollte als kcal/Person/Jahr aus FAO dietary energy requirement oder DES abgeleitet werden; Wert = kcal/Tag * 365.,Höhere Bevölkerung oder höherer kcal-Bedarf erhöht Import Dependence / Agricultural Pressure.,draft,high,flow sollte fachlich erklaert werden,True,True
Transport Cost per km Change,flow,(EUR/km)/Year,(Desired Transport Cost per km - Transport Cost per km) / Transport Cost Adjustment Time,"Transport Cost per km Change
 
 Anpassungsrate der Transportkosten pro Kilometer.
 Sie beschreibt, wie schnell sich Transport Cost per km
 dem gewünschten langfristigen Wert annähert.",02_Transport_and_Commuting,Desired Transport Cost per km; Transport Cost Adjustment Time; Transport Cost per km,Transport Cost per km,3,1,high,Beschreibt die Anpassungsrate der Transportkosten pro km.,Differenz zwischen Desired und aktuellem Transport Cost per km wird über Adjustment Time abgebaut.,"Langfristige Transportkostenänderungen erfolgen verzögert, z. B. durch Energiepreise, Technologie und Modal Split.",European Commission Handbook on external costs of transport: https://op.europa.eu/en/publication-detail/-/publication/9781f65f-8448-11ea-bf12-01aa75ed71a1; Eurostat commuting time: https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Main_place_of_work_and_commuting_time_-_statistics,Transport Cost Adjustment Time als Szenario-/Glättungsparameter dokumentieren; keine direkte externe Zahl.,Positive Werte erhöhen Transport Cost per km; negative Werte senken sie.,draft,high,flow sollte fachlich erklaert werden,True,True
Urban Productivity Effect,flow,Dmnl/Year,Urban Productivity Elasticity * (Innovation Index - 1),"Urban Productivity Effect
 
 Zusätzlicher Produktivitätseffekt auf das Einkommenswachstum.
 
 Wenn der Innovation Index über 1 liegt, erhöht sich die
 Wachstumsrate. Wenn er unter 1 liegt, wird sie reduziert.",03_Income_and_Productivity,Innovation Index; Urban Productivity Elasticity,Net Income Growth Rate,2,1,high,Übersetzt den Innovation Index in einen zusätzlichen Produktivitätseffekt.,Urban Productivity Elasticity multipliziert die Abweichung des Innovation Index von 1.,Mehr Innovationspotenzial erhöht Produktivitäts-/Einkommenswachstum; der Effekt ist als Elastizitätsannahme vereinfacht.,Bettencourt et al. (2007): https://www.pnas.org/doi/10.1073/pnas.0610172104; Bettencourt et al. (2010): https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0013541; GDP growth context: Eurostat GDP per capita (nama_10_pc): https://ec.europa.eu/eurostat/databrowser/view/nama_10_pc/default/table?lang=en; World Bank EU GDP per-capita growth: https://data.worldbank.org/indicator/NY.GDP.PCAP.KD.ZG?locations=EU,Urban Productivity Elasticity ist ein kritischer Szenarioparameter und sollte mit Sensitivität getestet werden.,Bei Innovation Index > 1 erhöht sich Net Income Growth Rate; bei < 1 wird sie reduziert.,draft,high,flow sollte fachlich erklaert werden,True,True
Yield,flow,kcal/km2/Year,Kcal per km2 avg per t * Innovation Index,"Yield
 
 Landwirtschaftlicher Ertrag pro km2 und Jahr.
 
 Da Innovation noch nicht modelliert ist, entspricht Yield vorerst
 dem Basis-Ertrag ""Kcal per km^2 avg per t"".
 
 Später kann Yield mit dem Innovation Index erweitert werden.",08_Agriculture_and_Scarcity,Innovation Index; Kcal per km2 avg per t,Food Production; Populational Need of Kcal in Km2,2,2,high,Beschreibt den landwirtschaftlichen kcal-Ertrag pro km2 und Jahr.,Basiswert Kcal per km2 avg per t wird mit Innovation Index multipliziert.,"Innovation erhöht landwirtschaftlichen Ertrag proportional; Klima-, Boden- und Fruchtartunterschiede werden nicht explizit modelliert.",FAO Food Balance Sheets / dietary energy supply: https://www.fao.org/statistics/highlights-archive/highlights-detail/food-balance-sheets-2010-2023/en; Eurostat agricultural production crops: https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Agricultural_production_-_crops; innovation link as model assumption based on Bettencourt et al. (2007): https://www.pnas.org/doi/10.1073/pnas.0610172104; Bettencourt et al. (2010): https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0013541,"Aktuellen Basiswert prüfen: aus EU-Erträgen (t/ha), kcal/t und Umrechnung ha→km2 berechnen. Innovation Index als Szenario-/Produktivitätseffekt testen.",Höherer Yield erhöht Food Production und senkt Importabhängigkeit.,draft,high,flow sollte fachlich erklaert werden,True,True
Expected Population,lookup,Person,"WITH LOOKUP ( Time for Lookup, ([(2025,4.4e+08)-(2050,4.6e+08)], (2025,4.518e+08), (2029,4.533e+08), (2030,4.529e+08), (2035,4.509e+08), (2040,4.49e+08), (2045,4.47e+08), (2050,4.45e+08)))","Expected Population
 
 Exogener Bevölkerungspfad des Modells.
 Die Bevölkerung wird nicht mehr endogen durch Geburten,
 Todesfälle und Migration berechnet.
 
 Diese Lookup-Tabelle gibt die erwartete Bevölkerung
 für den Simulationszeitraum vor.",01_Population_Household; 08_Agriculture_and_Scarcity,Time for Lookup,Number of Households; Population kcal demand,1,2,high,Gibt den exogenen Bevölkerungspfad für die Simulation vor.,Lookup liest die Bevölkerung abhängig von Time for Lookup.,"Bevölkerung wird im Prognosemodell exogen gesetzt und nicht endogen über Geburten, Sterbefälle und Migration simuliert.",Eurostat population projections in the EU / EUROPOP2025: https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Population_projections_in_the_EU,"Die Werte 451.8 Mio. 2025, Peak 453.3 Mio. 2029 und 445.0 Mio. 2050 sind durch Eurostat-Projektionen gedeckt. Zwischenwerte 2030–2045 sollten mit Eurostat-Daten abgeglichen oder interpoliert werden.","Zentraler exogener Treiber für Haushaltszahl, Flächennachfrage und Kalorienbedarf.",draft,high,zentrale Variable aus empfohlener Startliste; lookup sollte fachlich erklaert werden,True,True
Aggricultural Land,stock,km2,"INTEG (-Land Conversion Rate, Initial Aggricultural Land)","Aggricultural Land
 
 Stock für die landwirtschaftliche Fläche.
 
 Aggricultural Land sinkt, wenn Fläche in urbane Nutzung
 umgewandelt wird. Deshalb geht Land Conversion Rate mit
 negativem Vorzeichen in diesen Stock ein.",08_Agriculture_and_Scarcity; Macro_Ebene,Initial Aggricultural Land; Land Conversion Rate,Aggricultural Land Requirement; Agricultural Scarcity Index; Food Production; Max Feasible Conversion,2,4,high,Speichert die verbleibende landwirtschaftliche Fläche.,"Der Stock sinkt durch Land Conversion Rate, da landwirtschaftliche Fläche in urbane Nutzung überführt wird.",Landwirtschaftliche Fläche ist im Modell begrenzt und nimmt durch Urbanisierung ab; Rückgewinnung wird nicht modelliert.,Eurostat land use / land cover als Datengrundlage möglich: https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Land_cover_statistics; eigene Stock-Flow-Modellstruktur,Initial Aggricultural Land sollte aus EU-Land-cover-/Agrarflächenstatistik kalibriert werden.,"Sinkende Werte erhöhen Knappheit, können Food Production reduzieren und Max Feasible Conversion begrenzen.",draft,high,zentrale Variable aus empfohlener Startliste; stock sollte fachlich erklaert werden; stark vernetzt,True,True
Agricultural Rent,stock,EUR/km2,"INTEG (Agricultural Rent Change, Initial Agricultural Rent)","Agricultural Rent
 
 Stock für die landwirtschaftliche Bodenrente.
 
 Die Variable passt sich über Agricultural Rent Change
 schrittweise an Desired Agricultural Rent an.
 
 Agricultural Rent wird später in der AMM- und
 Urban-Land-Conversion-Logik verwendet.",05_AMM_Budget_and_Housing_Demand; 08_Agriculture_and_Scarcity; 09_Urban_Land_Conversion_Logic,Agricultural Rent Change; Initial Agricultural Rent,AMM Fringe Condition Gap; Agricultural Rent Change; Current Fringe Rent Gap; Desired Agricultural Rent; Rent Gap Pressure Factor; Urban Fringe Radius,2,6,high,Speichert die landwirtschaftliche Bodenrente.,Stock passt sich über Agricultural Rent Change an Desired Agricultural Rent an.,Landwirtschaftliche Bodenrente reagiert verzögert auf relative Knappheit landwirtschaftlicher Fläche.,"Alonso (1964), Muth (1969), Mills (1967); Mills URL: https://www.jstor.org/stable/1821621; Muth URL: https://www.cambridge.org/core/journals/recherches-economiques-de-louvain-louvain-economic-review/article/rf-muth-cities-and-housing-the-spatial-pattern-of-urban-residential-land-use-chicago-and-london-the-university-of-chicago-press-1969-xxii-p-355-p-90/0AA8AA64AD2123A62CED306A63423327; Eurostat agricultural land/crops context: FAO Food Balance Sheets / dietary energy supply: https://www.fao.org/statistics/highlights-archive/highlights-detail/food-balance-sheets-2010-2023/en; Eurostat agricultural production crops: https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Agricultural_production_-_crops",Initial Agricultural Rent ist schwer direkt EU-weit zu belegen; besser als kalibrierter Rentenindex oder aus Bodenpreis-/Pachtdaten ableiten.,Wichtige Vergleichsgrösse zur urbanen Rente und zur Fringe-/Conversion-Logik.,draft,high,zentrale Variable aus empfohlener Startliste; stock sollte fachlich erklaert werden; stark vernetzt,True,True
Income per Capita,stock,EUR/Person,"INTEG (Income per Capita Growth, Initial Income per Capita)","Income per Capita
 
 Stock für das durchschnittliche Einkommen pro Person.
 Die Variable wächst über Income per Capita Growth und wird
 durch Initial Income per Capita initialisiert.
 
 Sie bildet die Grundlage für das Haushaltseinkommen.",03_Income_and_Productivity,Income per Capita Growth; Initial Income per Capita,Income per Capita Growth; Mean Household Income,2,2,high,Speichert das durchschnittliche Einkommen pro Person.,Stock wächst über Income per Capita Growth und bildet die Basis für Haushaltseinkommen.,GDP/Income per capita wird als Proxy für verfügbares Einkommen genutzt; Verteilungsunterschiede werden nicht abgebildet.,Eurostat GDP per capita (nama_10_pc): https://ec.europa.eu/eurostat/databrowser/view/nama_10_pc/default/table?lang=en; World Bank EU GDP per-capita growth: https://data.worldbank.org/indicator/NY.GDP.PCAP.KD.ZG?locations=EU,Initialwert aus Eurostat GDP per capita oder disposable-income-Daten ableiten. Wichtig: Einheit EUR/Person und Preisbasis dokumentieren.,Höheres Einkommen erhöht Haushaltsbudget und kann über AMM-Logik Flächen-/Wohnnachfrage beeinflussen.,draft,high,zentrale Variable aus empfohlener Startliste; stock sollte fachlich erklaert werden,True,True
Mean Household Size,stock,Person/Household,"INTEG (Mean Household Size Change, Initial Mean Household Size)","Mean Household Size
 
 Shadow Variable aus View 01.
 Sie wird hier verwendet, um die Anzahl Pendler pro Haushalt
 zu berechnen.",01_Population_Household; 02_Transport_and_Commuting; 03_Income_and_Productivity; 05_AMM_Budget_and_Housing_Demand,Initial Mean Household Size; Mean Household Size Change,Commuters per Household; Desired Mean Household Size; Land per Household; Mean Annual Housing Cost per Household; Mean Household Income; Mean Household Size Change; Number of Households; Reference Initial Land Demand per Household,2,8,high,Speichert die durchschnittliche Haushaltsgrösse.,Stock nähert sich über Mean Household Size Change einem gewünschten langfristigen Wert an.,Haushaltsgrössen ändern sich langsam und können über einen glatten Anpassungsprozess angenähert werden.,"Eurostat Housing in Europe 2024, average household size: https://ec.europa.eu/eurostat/web/interactive-publications/housing-2024; Eurostat household composition: https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Household_composition_statistics",Eurostat Housing in Europe 2024 nennt 2.3 Personen pro Haushalt im EU-Durchschnitt 2023. Initialwert/Desired-Wert daran ausrichten.,Sinkende Haushaltsgrösse erhöht bei gleicher Bevölkerung die Anzahl Haushalte und damit Flächendruck.,draft,high,zentrale Variable aus empfohlener Startliste; stock sollte fachlich erklaert werden; stark vernetzt,True,True
