Real Name,Py Name,Subscripts,Units,Limits,Type,Subtype,Comment
Share Large City,share_large_city,,Dmnl,"(nan, nan)",Constant,Normal,Anteil der urbanen Bevölkerung in grossen Städten. Der Wert beschreibt eine vereinfachte Stadtgrössenverteilung und beeinflusst das modellierte Innovationspotenzial.
Share Medium City,share_medium_city,,Dmnl,"(nan, nan)",Constant,Normal,Anteil der urbanen Bevölkerung in mittleren Städten. Der Wert beschreibt eine vereinfachte Stadtgrössenverteilung und beeinflusst das modellierte Innovationspotenzial.
Share Small City,share_small_city,,Dmnl,"(nan, nan)",Constant,Normal,Anteil der urbanen Bevölkerung in kleinen Städten. Der Wert beschreibt eine vereinfachte Stadtgrössenverteilung und beeinflusst das modellierte Innovationspotenzial.
Share very Large City,share_very_large_city,,Dmnl,"(nan, nan)",Constant,Normal,Anteil der urbanen Bevölkerung in sehr grossen Städten. Der Wert beschreibt eine vereinfachte Stadtgrössenverteilung und beeinflusst das modellierte Innovationspotenzial.
Soil Protection,soil_protection,,Dmnl,"(nan, nan)",Auxiliary,Normal,Dimensionsloser Boden- beziehungsweise Flächenschutzindex aus Spatial Planning und Soil Protection Factor.
Soil Protection Effect,soil_protection_effect,,Dmnl,"(nan, nan)",Auxiliary,Normal,"Begrenzungsfaktor der Boden- und Flächenschutzlogik. Der Effekt reduziert die mögliche Landumwandlung, wird aber durch Max Ceiling Soil Protection begrenzt."
Soil Protection Factor,soil_protection_factor,,Dmnl,"(nan, nan)",Constant,Normal,"Soil Protection Factor Stärke der Schutzreaktion auf landwirtschaftliche Knappheit. Je höher dieser Wert ist, desto stärker reduziert steigende landwirtschaftliche Knappheit die spätere Land Conversion Rate."
Spatial Planing Factor,spatial_planing_factor,,Dmnl,"(nan, nan)",Constant,Normal,Szenarioparameter für räumliche Planung. Ein Wert von 1 bedeutet eine neutrale Planungsannahme ohne zusätzliche Verstärkung oder Dämpfung.
Spatial Planning,spatial_planning,,Dmnl,"(nan, nan)",Auxiliary,Normal,Planungsindex aus Urban Land Index und Spacial Planing Factor.
TIME STEP,time_step,,Year,"(0.0, nan)",Constant,Normal,The time step for the simulation.
Time,time,,,"(nan, nan)",,,Current time of the model.
Time for Lookup,time_for_lookup,,Dmnl,"(nan, nan)",Auxiliary,Normal,"Time for Lookup Dimensionslose Zeitvariable für Lookup-Funktionen. Da Vensim Lookup-Argumente dimensionslos erwartet, wird Time durch Year Unit geteilt."
Total Urban Innovation Potential,total_urban_innovation_potential,,Dmnl,"(nan, nan)",Auxiliary,Normal,Aggregiertes Innovationspotenzial aller Stadtgrössenklassen. Der Wert ergibt sich aus der Summe der klassenspezifischen Innovationsbeiträge.
Transport Cost Adjustment Time,transport_cost_adjustment_time,,Year,"(nan, nan)",Constant,Normal,"Transport Cost Adjustment Time Anpassungszeit der Transportkosten. Je höher dieser Wert ist, desto langsamer bewegt sich Transport Cost per km in Richtung des langfristigen Zielwertes."
Transport Cost per Household,transport_cost_per_household,,EUR/Household,"(nan, nan)",Auxiliary,Normal,Transport Cost per Household Jährliche Transportkosten eines durchschnittlichen Haushalts. Diese Variable wird später in der AMM-Budgetlogik vom Haushaltseinkommen abgezogen und beeinflusst dadurch die verfügbare Wohn- und Konsumnachfrage.
Transport Cost per km,transport_cost_per_km,,EUR/km,"(nan, nan)",Stateful,Integ,Transport Cost per km Stock für die durchschnittlichen Transportkosten pro Kilometer. Die Variable verändert sich über die Zeit in Richtung eines langfristigen Zielwertes. Sie bildet die Grundlage für die späteren jährlichen Transportkosten eines Haushalts.
Transport Cost per km Change,transport_cost_per_km_change,,(EUR/km)/Year,"(nan, nan)",Auxiliary,Normal,"Transport Cost per km Change Anpassungsrate der Transportkosten pro Kilometer. Sie beschreibt, wie schnell sich Transport Cost per km dem gewünschten langfristigen Wert annähert."
Transport Cost per km per Capita,transport_cost_per_km_per_capita,,EUR/km/Person,"(nan, nan)",Auxiliary,Normal,Transport Cost per km per Capita Jährliche Transportkosten pro Kilometer und Person. Der Faktor 2 berücksichtigt Hin- und Rückweg. Diese Variable übersetzt die Transportkosten pro Kilometer in eine jährliche Belastung pro pendelnder Person.
Transport Cost per km per Household,transport_cost_per_km_per_household,,EUR/km/Household,"(nan, nan)",Auxiliary,Normal,Transport Cost per km per Household Jährliche Transportkosten pro Kilometer und Haushalt. Die Kosten pro Person werden mit der Anzahl Pendler pro Haushalt multipliziert.
Urban Aggregate Scale Factor,urban_aggregate_scale_factor,,Dmnl,"(nan, nan)",Auxiliary,Normal,"Skalierungsfaktor, der die synthetische AMM-Stadt auf die aggregierte urbane Fläche des Gesamtmodells skaliert."
Urban Expansion Adjustment Time,urban_expansion_adjustment_time,,Year,"(nan, nan)",Constant,Normal,"Urban Expansion Adjustment Time Anpassungszeit der urbanen Expansion. Je höher dieser Wert ist, desto langsamer wird ein bestehender Urban Land Gap durch neue Landumwandlung geschlossen."
Urban Fringe Radius,urban_fringe_radius,,km,"(nan, nan)",Auxiliary,Normal,"Theoretischer AMM-Stadtrand. Der Radius ergibt sich aus der Bedingung, dass die urbane Zahlungsbereitschaft am Rand der landwirtschaftlichen Rente entspricht."
Urban Land,urban_land,,km2,"(nan, nan)",Stateful,Integ,"Urban Land Stock für die gesamte urbane Fläche. Urban Land steigt, wenn landwirtschaftliche Fläche in urbane Nutzung umgewandelt wird. Die Veränderung erfolgt über Land Conversion Rate."
Urban Land Absolute Error Percent,urban_land_absolute_error_percent,,Percent,"(nan, nan)",Auxiliary,Normal,
Urban Land Error,urban_land_error,,km2,"(nan, nan)",Auxiliary,Normal,
Urban Land Error Percent,urban_land_error_percent,,Percent,"(nan, nan)",Auxiliary,Normal,
Urban Land Gap,urban_land_gap,,km2,"(nan, nan)",Auxiliary,Normal,"Urban Land Gap Differenz zwischen gewünschter und aktuell vorhandener urbaner Fläche. Die MAX-Funktion verhindert negative Werte. Wenn die aktuelle urbane Fläche bereits grösser ist als die gewünschte Fläche, entsteht kein zusätzlicher Umwandlungsdruck."
Urban Land Index,urban_land_index,,Dmnl,"(nan, nan)",Auxiliary,Normal,"Urban Land Index Dimensionsloser Index der urbanen Fläche. Ein Wert von 1 bedeutet, dass Urban Land dem Startwert entspricht. Werte über 1 zeigen eine Zunahme der urbanen Fläche gegenüber dem Startzustand."
Urban Land Relative Error,urban_land_relative_error,,Dmnl,"(nan, nan)",Auxiliary,Normal,
Urban Land Required for Households,urban_land_required_for_households,,km2,"(nan, nan)",Auxiliary,Normal,Direkter urbaner Flächenbedarf der Haushalte ohne AMM-Fringe-Skalierung.
Urban Population Density,urban_population_density,,Dmnl,"(nan, nan)",Constant,Normal,Angenommene urbane Bevölkerungsdichte. Der Wert kann an der EU-OECD-Definition eines Urban Centre mit 1'500 Personen pro km2 orientiert werden.
Urban Population Total,urban_population_total,,Dmnl,"(nan, nan)",Auxiliary,Normal,Normalisierte urbane Grössenvariable für den Innovation-Block. Sie wird aus Urban Land und Urban Population Density berechnet.
Urban Productivity Effect,urban_productivity_effect,,Dmnl/Year,"(nan, nan)",Auxiliary,Normal,"Urban Productivity Effect Zusätzlicher Produktivitätseffekt auf das Einkommenswachstum. Wenn der Innovation Index über 1 liegt, erhöht sich die Wachstumsrate. Wenn er unter 1 liegt, wird sie reduziert."
Urban Productivity Elasticity,urban_productivity_elasticity,,Dmnl/Year,"(nan, nan)",Constant,Normal,"Urban Productivity Elasticity Sensitivität des Einkommenswachstums gegenüber dem Innovation Index. Je höher dieser Wert ist, desto stärker wirkt sich Innovation auf die Einkommensentwicklung aus."
Urban Rent Adjustment Time,urban_rent_adjustment_time,,Year,"(nan, nan)",Constant,Normal,"Urban Rent Adjustment Time Anpassungszeit der urbanen Miete. Je höher dieser Wert ist, desto langsamer passt sich Mean Urban Rent an Desired Mean Urban Rent an."
Urban Rent Sensitivity to Land Tightness,urban_rent_sensitivity_to_land_tightness,,Dmnl,"(nan, nan)",Constant,Normal,"Urban Rent Sensitivity to Land Tightness Sensitivität der urbanen Miete gegenüber Landknappheit. Ein höherer Wert bedeutet, dass Desired Mean Urban Rent stärker auf Änderungen im Land Tightness Index reagiert."
Urban Rent at Current Fringe,urban_rent_at_current_fringe,,EUR/km2,"(nan, nan)",Auxiliary,Normal,Urbane Rente am aktuellen Stadtrand. Sie ergibt sich aus dem AMM-Budget nach Abzug des sonstigen Konsums und der distanzabhängigen Transportkosten.
Urban Rent at Fringe,urban_rent_at_fringe,,EUR/km2,"(nan, nan)",Auxiliary,Normal,"Urbane Rente am theoretischen AMM-Fringe. Diese Variable dient zur Prüfung, ob der berechnete Fringe konsistent mit der Agricultural Rent ist."
Urban Scaling Exponent Large,urban_scaling_exponent_large,,Dmnl,"(nan, nan)",Constant,Normal,"Urban-Scaling-Exponent der grossen Stadtklasse. Werte über 1 bedeuten, dass Innovation überproportional mit der Stadtgrösse steigt."
Urban Scaling Exponent Medium,urban_scaling_exponent_medium,,Dmnl,"(nan, nan)",Constant,Normal,"Urban-Scaling-Exponent der mittleren Stadtklasse. Werte über 1 bedeuten, dass Innovation überproportional mit der Stadtgrösse steigt."
Urban Scaling Exponent Small,urban_scaling_exponent_small,,Dmnl,"(nan, nan)",Constant,Normal,"Urban-Scaling-Exponent der kleinen Stadtklasse. Werte über 1 bedeuten, dass Innovation überproportional mit der Stadtgrösse steigt."
Urban Scaling Exponent very Large,urban_scaling_exponent_very_large,,Dmnl,"(nan, nan)",Constant,Normal,"Urban-Scaling-Exponent der sehr grossen Stadtklasse. Werte über 1 bedeuten, dass Innovation überproportional mit der Stadtgrösse steigt."
Year Unit,year_unit,,Year,"(nan, nan)",Constant,Normal,Year Unit Technische Hilfsvariable zur Umwandlung von Time in einen dimensionslosen Wert für Lookup-Funktionen.
Yield,yield_1,,kcal/km2/Year,"(nan, nan)",Auxiliary,Normal,"Yield Landwirtschaftlicher Ertrag pro km2 und Jahr. Da Innovation noch nicht modelliert ist, entspricht Yield vorerst dem Basis-Ertrag ""Kcal per km^2 avg per t"". Später kann Yield mit dem Innovation Index erweitert werden."
